Day,Sales_base,Total Orders,Sales_paid
2025-01-18,1042100,9,361500
2025-01-19,260100,13,531500
2025-01-20,2148000,13,596000
2025-01-21,1370100,9,368500
2025-01-22,1657100,10,496500
2025-01-23,1093000,14,656000
2025-01-24,1124500,14,767600
2025-01-25,740500,9,382500
2025-01-26,202000,6,297500
2025-01-27,1531500,20,881500
2025-01-28,1514600,15,911000
2025-01-29,1155100,14,770100
2025-01-30,1774500,11,509500
2025-01-31,1368000,13,647100
2025-02-01,1032500,18,743500
2025-02-02,1035300,13,552500
2025-02-03,2808200,9,371500
2025-02-04,823000,9,452500
2025-02-05,1734100,10,424500
2025-02-06,1372100,8,340000
2025-02-07,1040600,15,727600
2025-02-08,664100,16,811600
2025-02-09,326500,14,627000
2025-02-10,726000,4,341500
